"Style";"String";"ChatGPT";"Llama 2 7B";"NeuroParsCit"
"alphabetic";"[NM77]F NARIN and JK MOLL. “BIBLIOMETRICS”. In: ANNUAL REVIEW OF INFORMATION SCIENCE AND TECHNOLOGY 12 (1977), pp. 35–58. issn: 0066-4200.";"@article{narin1977bibliometrics,   author    = {F Narin and JK Moll},   title     = {Bibliometrics},   journal   = {Annual Review of Information Science and Technology},   year      = {1977},   volume    = {12},   pages     = {35--58},   issn      = {0066-4200}, }  ";"@article{NM77, title={BIBLIOMETRICS}, author={F NARIN, JK MOLL}, journal={ANNUAL REVIEW OF INFORMATION SCIENCE AND TECHNOLOGY}, volume={12}, pages={35-58}, issn=0066-4200, url={http://www.annualreviews.org/doi/pdf/10.1146/annurev-ins-0112-187495} }";"[NM77]F AUTHOR NARIN AUTHOR and AUTHOR JK AUTHOR MOLL. AUTHOR “BIBLIOMETRICS”. TITLE In: TITLE ANNUAL TITLE REVIEW TITLE OF TITLE INFORMATION JOURNAL SCIENCE JOURNAL AND JOURNAL TECHNOLOGY JOURNAL 12 VOLUME (1977), DATE pp. PAGES 35–58. PAGES issn: NOTES 0066-4200. PAGES"
"alphabetic";"[Kli+16]Paul Klimo Jr. et al. “Bibliometrics”. In: JOURNAL OF NEUROSURGERY 124.3 (2016), pp. 877–878. issn: 0022-3085. doi: 10.3171/2015.7.JNS151647.";"@article{klimo2016bibliometrics,   author    = {Paul Klimo Jr. and others},   title     = {Bibliometrics},   journal   = {Journal of Neurosurgery},   year      = {2016},   volume    = {124},   number    = {3},   pages     = {877--878},   issn      = {0022-3085},   doi       = {10.3171/2015.7.JNS151647}, }  ";"@article{Kli+16, title={Bibliometrics}, author={Paul Klimo Jr. et al.}, journal={JOURNAL OF NEUROSURGERY}, volume={124.3}, pages={877--878}, issn={0022-3085}, doi={10.3171/2015.7.JNS151647} }";"[Kli+16]Paul AUTHOR Klimo AUTHOR Jr. AUTHOR et AUTHOR al. AUTHOR “Bibliometrics”. TITLE In: TITLE JOURNAL TITLE OF JOURNAL NEUROSURGERY JOURNAL 124.3 VOLUME (2016), DATE pp. PAGES 877–878. PAGES issn: NOTES 0022-3085. PAGES doi: NOTES 10.3171/2015.7.JNS151647. PAGES"
"alphabetic";"[WM89]HD WHITE and KW MCCAIN. “BIBLIOMETRICS”. In: ANNUAL REVIEW OF INFORMATION SCIENCE AND TECHNOLOGY 24 (1989), pp. 119–186. issn: 0066-4200.";"@article{white1989bibliometrics,   author    = {HD White and KW McCain},   title     = {Bibliometrics},   journal   = {Annual Review of Information Science and Technology},   year      = {1989},   volume    = {24},   pages     = {119--186},   issn      = {0066-4200}, }  ";"@book{WM89, title={BIBLIOMETRICS}, author={HD WHITE and KW MCCAIN}, publisher={ANNUAL REVIEW OF INFORMATION SCIENCE AND TECHNOLOGY}, pages={119-186}, issn=0066-4200, url={http://www.annualreviews.org/doi/pdf/10.1146/annurev-infosci-1112} }";"[WM89]HD AUTHOR WHITE AUTHOR and AUTHOR KW AUTHOR MCCAIN. AUTHOR “BIBLIOMETRICS”. AUTHOR In: TITLE ANNUAL JOURNAL REVIEW JOURNAL OF JOURNAL INFORMATION JOURNAL SCIENCE JOURNAL AND JOURNAL TECHNOLOGY JOURNAL 24 VOLUME (1989), DATE pp. PAGES 119–186. PAGES issn: NOTES 0066-4200. PAGES"
"alphabetic";"[Nie23]Friedrich Nietzsche. “Bibliometrics Journey”. In: EXERCER-LA REVUE FRANCOPHONE DE MEDECINE GENERALE 193 (2023), p. 195. issn: 0998-3953.";"@article{nietzsche2023bibliometrics,   author    = {Friedrich Nietzsche},   title     = {Bibliometrics Journey},   journal   = {Exercer-la Revue Francophone de Medecine Generale},   year      = {2023},   volume    = {193},   pages     = {195},   issn      = {0998-3953}, }  ";"@article{Nie23, title = {Bibliometrics Journey}, author = {Friedrich Nietzsche}, journal = {EXERCER-LA REVUE FRANCOPHONE DE MEDECINE GENERALE}, pages = 195, issn = {0998-3953}, }";"[Nie23]Friedrich AUTHOR Nietzsche. AUTHOR “Bibliometrics AUTHOR Journey”. AUTHOR In: TITLE EXERCER-LA TITLE REVUE JOURNAL FRANCOPHONE JOURNAL DE JOURNAL MEDECINE JOURNAL GENERALE JOURNAL 193 VOLUME (2023), DATE p. PAGES 195. PAGES issn: VOLUME 0998-3953. PAGES"
"alphabetic";"[KB10]Michael J. Kurtz and Johan Bollen. “Usage Bibliometrics”. In: ANNUAL REVIEW OF INFORMATION SCIENCE AND TECHNOLOGY 44 (2010), pp. 3–64. issn: 0066-4200.";"@article{kurtz2010usage,   author    = {Michael J. Kurtz and Johan Bollen},   title     = {Usage Bibliometrics},   journal   = {Annual Review of Information Science and Technology},   year      = {2010},   volume    = {44},   pages     = {3--64},   issn      = {0066-4200}, }  ";"@article{KB10, title = {Usage Bibliometrics}, author = {Michael J. Kurtz and Johan Bollen}, journal = {ANNUAL REVIEW OF INFORMATION SCIENCE AND TECHNOLOGY}, pages = 3--64, issn = {0066-4200}, }";"[KB10]Michael AUTHOR J. AUTHOR Kurtz AUTHOR and AUTHOR Johan AUTHOR Bollen. AUTHOR “Usage TITLE Bibliometrics”. TITLE In: TITLE ANNUAL TITLE REVIEW TITLE OF TITLE INFORMATION JOURNAL SCIENCE JOURNAL AND JOURNAL TECHNOLOGY JOURNAL 44 VOLUME (2010), DATE pp. PAGES 3–64. PAGES issn: NOTES 0066-4200. PAGES"
"alphabetic";"[DAV81]CH DAVIS. “BIBLIOMETRICS - FOREWORD”. In: LIBRARY TRENDS 30.1 (1981), p. 3. issn: 0024-2594.";"@article{davis1981bibliometrics,   author    = {CH Davis},   title     = {Bibliometrics - Foreword},   journal   = {Library Trends},   year      = {1981},   volume    = {30},   number    = {1},   pages     = {3},   issn      = {0024-2594}, }  ";"@foreword{DAV81, title = {Bibliometrics - Foreword}, author = {CH DAVIS}, journal = {LIBRARY TRENDS}, pages = 3, issn = {0024-2594}, }";"[DAV81]CH AUTHOR DAVIS. AUTHOR “BIBLIOMETRICS TITLE - EDITOR FOREWORD”. JOURNAL In: JOURNAL LIBRARY JOURNAL TRENDS JOURNAL 30.1 VOLUME (1981), DATE p. PAGES 3. VOLUME issn: NOTES 0024-2594. PAGES"
"alphabetic";"[CH22]Michael Czolkoss-Hettwer. “Handbook Bibliometrics”. In: ZEITSCHRIFT FUR BIBLIOTHEKSWESEN UND BIBLIOGRAPHIE 69.3 (2022), pp. 171–173. issn: 0044-2380.";"@article{czolkoss-hettwer2022handbook,   author    = {Michael Czolkoss-Hettwer},   title     = {Handbook Bibliometrics},   journal   = {Zeitschrift für Bibliothekswesen und Bibliographie},   year      = {2022},   volume    = {69},   number    = {3},   pages     = {171--173},   issn      = {0044-2380}, }  ";"@book{CH22, title = {Handbook Bibliometrics}, author = {Michael Czolkoss-Hettwer}, publisher = {ZEITSCHRIFT FUR BIBLIOTHEKSWESEN UND BIBLIOGRAPHIE}, pages = 171--173, issn = {0044-2380}, }";"[CH22]Michael AUTHOR Czolkoss-Hettwer. AUTHOR “Handbook TITLE Bibliometrics”. TITLE In: TITLE ZEITSCHRIFT TITLE FUR BOOKTITLE BIBLIOTHEKSWESEN JOURNAL UND JOURNAL BIBLIOGRAPHIE JOURNAL 69.3 VOLUME (2022), DATE pp. PAGES 171–173. PAGES issn: NOTES 0044-2380. PAGES"
"alphabetic";"[Loz+16]Christopher S. Lozano et al. “Bibliometrics Response”. In: JOURNAL OF NEUROSURGERY 124.3 (2016), pp. 878–879. issn: 0022-3085.";"@article{lozano2016bibliometrics,   author    = {Christopher S. Lozano and others},   title     = {Bibliometrics Response},   journal   = {Journal of Neurosurgery},   year      = {2016},   volume    = {124},   number    = {3},   pages     = {878--879},   issn      = {0022-3085}, }  ";"@article{Loz+16, title = {Bibliometrics Response}, author = {Christopher S. Lozano et al.}, journal = {JOURNAL OF NEUROSURGERY}, pages = 878--879, issn = {0022-3085}, }";"[Loz+16]Christopher AUTHOR S. AUTHOR Lozano AUTHOR et AUTHOR al. AUTHOR “Bibliometrics TITLE Response”. TITLE In: TITLE JOURNAL JOURNAL OF JOURNAL NEUROSURGERY JOURNAL 124.3 VOLUME (2016), DATE pp. PAGES 878–879. PAGES issn: NOTES 0022-3085. PAGES"
"alphabetic";"[US98]S von Ungern-Sternberg. “Teaching bibliometrics”. In: JOURNAL OF EDUCATION FOR LIBRARY AND INFORMATION SCIENCE 39.1 (1998), pp. 76–80. issn: 0748-5786. doi: 10.2307/40324182.";"@article{ungern-sternberg1998teaching,   author    = {S von Ungern-Sternberg},   title     = {Teaching bibliometrics},   journal   = {Journal of Education for Library and Information Science},   year      = {1998},   volume    = {39},   number    = {1},   pages     = {76--80},   issn      = {0748-5786},   doi       = {10.2307/40324182}, }  ";"@article{US98, title={Teaching bibliometrics}, author={S von Ungern-Sternberg}, journal=JOURNAL OF EDUCATION FOR LIBRARY AND INFORMATION SCIENCE, volume={39}, issue={1}, pages={76-80}, issn={0748-5786}, doi={10.2307/40324182}, }";"[US98]S AUTHOR von AUTHOR Ungern-Sternberg. AUTHOR “Teaching TITLE bibliometrics”. TITLE In: TITLE JOURNAL TITLE OF BOOKTITLE EDUCATION BOOKTITLE FOR BOOKTITLE LIBRARY JOURNAL AND JOURNAL INFORMATION JOURNAL SCIENCE JOURNAL 39.1 VOLUME (1998), DATE pp. PAGES 76–80. PAGES issn: NOTES 0748-5786. PAGES doi: NOTES 10.2307/40324182. PAGES"
"alphabetic";"[NAR94]F NARIN. “PATENT BIBLIOMETRICS”. In: SCIENTOMETRICS 30.1 (1994). 4th International Conference on Bibliometrics, Informetrics and Scientometrics, in Memory of Derek John de Solla Price (1922-1983), BERLIN, GERMANY, SEP 11-15, 1993, pp. 147–155. issn: 0138-9130. doi: 10.1007/BF02017219.";"@article{narin1994patent,   author    = {F Narin},   title     = {Patent Bibliometrics},   journal   = {Scientometrics},   year      = {1994},   volume    = {30},   number    = {1},   pages     = {147--155},   issn      = {0138-9130},   doi       = {10.1007/BF02017219}, }  ";"@inproceedings{NAR94, title={PATENT BIBLIOMETRICS}, author={F NARIN}, conference={4th International Conference on Bibliometrics, Informetrics and Scientometrics, in Memory of Derek John de Solla Price (1922-1983)}, location={BERLIN, GERMANY}, dates={SEP 11-15, 1993}, pages={147-155}, issn={0138-9130}, doi={10.1007/BF02017219}, }";"[NAR94]F AUTHOR NARIN. AUTHOR “PATENT AUTHOR BIBLIOMETRICS”. AUTHOR In: AUTHOR SCIENTOMETRICS JOURNAL 30.1 VOLUME (1994). DATE 4th BOOKTITLE International BOOKTITLE Conference BOOKTITLE on BOOKTITLE Bibliometrics, BOOKTITLE Informetrics BOOKTITLE and BOOKTITLE Scientometrics, BOOKTITLE in BOOKTITLE Memory BOOKTITLE of BOOKTITLE Derek BOOKTITLE John BOOKTITLE de BOOKTITLE Solla BOOKTITLE Price BOOKTITLE (1922-1983), DATE BERLIN, BOOKTITLE GERMANY, BOOKTITLE SEP JOURNAL 11-15, VOLUME 1993, DATE pp. PAGES 147–155. PAGES issn: VOLUME 0138-9130. PAGES doi: PAGES 10.1007/BF02017219. PAGES"
